trade_day,month,serial,sandp,corn
4-Mar-16,3/1/2016,42430,2000,354.5
7-Mar-16,3/1/2016,42430,2001.8,355
8-Mar-16,3/1/2016,42430,1979.3,358.75
9-Mar-16,3/1/2016,42430,1989.3,359
10-Mar-16,3/1/2016,42430,1989.6,362.5
11-Mar-16,3/1/2016,42430,2022.2,366
14-Mar-16,3/1/2016,42430,2019.6,366.75
15-Mar-16,3/1/2016,42430,2015.9,368.5
16-Mar-16,3/1/2016,42430,2027.2,368.25
17-Mar-16,3/1/2016,42430,2040.6,368.5
18-Mar-16,3/1/2016,42430,2049.6,367
21-Mar-16,3/1/2016,42430,2051.6,369.5
22-Mar-16,3/1/2016,42430,2049.8,370
23-Mar-16,3/1/2016,42430,2036.7,368.5
24-Mar-16,3/1/2016,42430,2035.9,370
28-Mar-16,3/1/2016,42430,2037.1,370.5
29-Mar-16,3/1/2016,42430,2055,373
30-Mar-16,3/1/2016,42430,2064,367
31-Mar-16,3/1/2016,42430,2059.7,351.5
1-Apr-16,4/1/2016,42461,2072.8,354
4-Apr-16,4/1/2016,42461,2066.1,354.5
5-Apr-16,4/1/2016,42461,2045.2,356.75
6-Apr-16,4/1/2016,42461,2066.7,358
7-Apr-16,4/1/2016,42461,2041.9,361.5
8-Apr-16,4/1/2016,42461,2047.6,362.25
11-Apr-16,4/1/2016,42461,2042,356.75
12-Apr-16,4/1/2016,42461,2061.7,362.75
13-Apr-16,4/1/2016,42461,2082.4,373.5
14-Apr-16,4/1/2016,42461,2082.8,374
15-Apr-16,4/1/2016,42461,2080.7,378.5
18-Apr-16,4/1/2016,42461,2094.3,381
19-Apr-16,4/1/2016,42461,2100.8,384.5
20-Apr-16,4/1/2016,42461,2102.4,394.75
21-Apr-16,4/1/2016,42461,2091.5,384.5
22-Apr-16,4/1/2016,42461,2091.6,371.75
25-Apr-16,4/1/2016,42461,2087.8,377
26-Apr-16,4/1/2016,42461,2091.7,382.25
27-Apr-16,4/1/2016,42461,2095.2,380.75
28-Apr-16,4/1/2016,42461,2075.8,387
29-Apr-16,4/1/2016,42461,2065.3,390.25
2-May-16,5/1/2016,42491,2081.4,390.25
3-May-16,5/1/2016,42491,2063.4,378.25
4-May-16,5/1/2016,42491,2051.1,373.25
5-May-16,5/1/2016,42491,2050.6,371.75
6-May-16,5/1/2016,42491,2057.1,376
9-May-16,5/1/2016,42491,2058.7,367.75
10-May-16,5/1/2016,42491,2084.4,378.5
11-May-16,5/1/2016,42491,2064.5,374
12-May-16,5/1/2016,42491,2064.1,385.25
13-May-16,5/1/2016,42491,2046.6,382
16-May-16,5/1/2016,42491,2066.7,394
17-May-16,5/1/2016,42491,2047.2,397
18-May-16,5/1/2016,42491,2047.6,399.5
19-May-16,5/1/2016,42491,2040,390
20-May-16,5/1/2016,42491,2052.3,394.5
23-May-16,5/1/2016,42491,2048,397.75
24-May-16,5/1/2016,42491,2076.1,397.5
25-May-16,5/1/2016,42491,2090.5,404.75
26-May-16,5/1/2016,42491,2090.1,408.25
27-May-16,5/1/2016,42491,2099.1,412.75
31-May-16,5/1/2016,42491,2097,404.75
1-Jun-16,6/1/2016,42522,2099.3,413.75
2-Jun-16,6/1/2016,42522,2105.3,415.25
3-Jun-16,6/1/2016,42522,2099.1,418.25
6-Jun-16,6/1/2016,42522,2109.4,427.25
7-Jun-16,6/1/2016,42522,2112.1,427.75
8-Jun-16,6/1/2016,42522,2119.1,431.25
9-Jun-16,6/1/2016,42522,2115.5,426.5
10-Jun-16,6/1/2016,42522,2096.1,423
13-Jun-16,6/1/2016,42522,2079.1,430
14-Jun-16,6/1/2016,42522,2075.3,436.5
15-Jun-16,6/1/2016,42522,2071.5,429
16-Jun-16,6/1/2016,42522,2078,425.25
17-Jun-16,6/1/2016,42522,2071.2,437.75
20-Jun-16,6/1/2016,42522,2083.3,421.25
21-Jun-16,6/1/2016,42522,2088.9,396.25
22-Jun-16,6/1/2016,42522,2085.5,393
23-Jun-16,6/1/2016,42522,2113.3,387.25
24-Jun-16,6/1/2016,42522,2037.4,384.5
27-Jun-16,6/1/2016,42522,2000.5,385.25
28-Jun-16,6/1/2016,42522,2036.1,385.25
29-Jun-16,6/1/2016,42522,2070.8,372.75
30-Jun-16,6/1/2016,42522,2098.9,358.75
1-Jul-16,7/1/2016,42552,2103,353
5-Jul-16,7/1/2016,42552,2088.6,344
6-Jul-16,7/1/2016,42552,2099.7,335.75
7-Jul-16,7/1/2016,42552,2097.9,335.5
8-Jul-16,7/1/2016,42552,2129.9,349.75
11-Jul-16,7/1/2016,42552,2137.2,343.75
12-Jul-16,7/1/2016,42552,2152.1,349.75
13-Jul-16,7/1/2016,42552,2152.4,365.75
14-Jul-16,7/1/2016,42552,2163.8,362.25
15-Jul-16,7/1/2016,42552,2161.7,352.25
18-Jul-16,7/1/2016,42552,2166.9,357
19-Jul-16,7/1/2016,42552,2163.8,341.75
20-Jul-16,7/1/2016,42552,2173,337.5
21-Jul-16,7/1/2016,42552,2165.2,334.25
