Date,Region,Cash,Contract,Futures
2/26/2015,North,4.03,Dec,4.14
3/5/2015,North,4.16,Dec,4.14
3/12/2015,North,4.14,Dec,4.12
3/19/2015,North,3.99,Dec,3.99
3/26/2015,North,4.16,Dec,4.15
4/2/2015,North,4.09,Dec,4.11
4/9/2015,North,4.16,Dec,4.04
4/16/2015,North,4.01,Dec,4
4/23/2015,North,3.96,Dec,3.95
4/30/2015,North,3.87,Dec,3.84
5/7/2015,North,3.89,Dec,3.77
5/14/2015,North,3.96,Dec,3.85
5/21/2015,North,4,Dec,3.82
5/28/2015,North,3.89,Dec,3.7
6/4/2015,North,3.93,Dec,3.81
6/11/2015,North,3.86,Dec,3.74
6/18/2015,North,3.88,Dec,3.73
6/25/2015,North,4.12,Dec,3.92
1/1/2015,North,3.98,Jul,4.11
1/8/2015,North,4.17,Jul,4.1
1/15/2015,North,4.03,Jul,3.94
1/22/2015,North,4.07,Jul,3.99
1/29/2015,North,3.94,Jul,3.88
2/5/2015,North,4.08,Jul,4.01
2/12/2015,North,4.06,Jul,3.98
2/19/2015,North,4.13,Jul,4.05
2/26/2015,North,4.03,Jul,3.97
3/5/2015,North,4.16,Jul,3.98
3/12/2015,North,4.14,Jul,3.96
3/19/2015,North,3.99,Jul,3.82
3/26/2015,North,4.16,Jul,3.99
4/2/2015,North,4.09,Jul,3.95
4/9/2015,North,4.16,Jul,3.86
4/16/2015,North,4.01,Jul,3.83
4/23/2015,North,3.96,Jul,3.77
4/30/2015,North,3.87,Jul,3.66
5/7/2015,North,3.89,Jul,3.62
5/14/2015,North,3.96,Jul,3.68
5/21/2015,North,4,Jul,3.65
5/28/2015,North,3.89,Jul,3.54
6/4/2015,North,3.93,Jul,3.64
6/11/2015,North,3.86,Jul,3.57
6/18/2015,North,3.88,Jul,3.58
6/25/2015,North,4.12,Jul,3.77
1/1/2015,North,3.98,Sep,4.14
1/8/2015,North,4.17,Sep,4.12
1/15/2015,North,4.03,Sep,4
1/22/2015,North,4.07,Sep,4.05
